,연도,나이(성별),1회,2회,3회,4회,5회,6회,7회 이상,총합,성별총합,연도2,10대,20대,30대,40대,50대,60대,70대이상,불상,연령총합,연령총합(불상포함)
154,2021,30대(남),14070,6073,2215,880,279,82,49,23648,26917,,,,,,,,,,,
155,2021,30대(여),2602,522,113,25,4,2,1,3269,,,,,,,,,,,,
156,2021,40대(남),9783,6925,4028,1869,809,351,264,24029,28178,,,,,,,,,,,
157,2021,40대(여),2870,877,270,105,18,6,3,4149,,,,,,,,,,,,
158,2021,50대(남),7894,6119,3808,2041,979,461,408,21710,24220,,,,,,,,,,,
159,2021,50대(여),1517,618,258,80,27,6,4,2510,,,,,,,,,,,,
160,2021,60대(남),3656,2613,1682,903,434,255,218,9761,10348,,,,,,,,,,,
161,2021,60대(여),331,161,62,25,7,0,1,587,,,,,,,,,,,,
162,2021,70대 이상(남),800,473,247,100,54,17,22,1713,1735,,,,,,,,,,,
163,2021,70대 이상(여),15,3,2,2,0,0,0,22,,,,,,,,,,,,
