연도,음주율,비율
2010,79.1,9.4
2011,79.3,9.1
2012,77.2,9.4
2013,77.0,9.0
2014,78.2,8.2
2015,78.5,8.3
2016,79.2,7.2
2017,80.3,7.4
2018,79.7,7.4
2019,79.2,5.6
2020,78.1,6.6
2021,76.9,6.1
