,사고지역관리번호,사고연도,사고유형구분,위치코드,사고다발지역시도시군구,사고지역위치명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,위도,경도
9298,2019035,2018,보행어린이,11560001,서울특별시 영등포구1,서울특별시 영등포구 영등포동8가(마리아성모병원 부근),3,3,0,1,2,0,37.52725756,126.9061455
9299,2019035,2018,보행어린이,11590001,서울특별시 동작구1,서울특별시 동작구 대방동(참새어린이공원 부근),3,3,0,2,0,1,37.4984346,126.9212853
9300,2019035,2018,보행어린이,11620001,서울특별시 관악구1,서울특별시 관악구 봉천동(영빌딩 부근),3,3,0,0,3,0,37.47393111,126.9661543
9301,2019035,2018,보행어린이,11680001,서울특별시 강남구1,서울특별시 강남구 청담동(청담e편한세상3차아파트 부근),3,4,0,0,4,0,37.51863558,127.045086
9302,2019035,2018,보행어린이,11740001,서울특별시 강동구1,서울특별시 강동구 길동(나래하우스빌라 부근),3,3,0,0,1,2,37.54276778,127.1459353
9303,2019035,2018,보행어린이,26230001,부산광역시 부산진구1,부산광역시 부산진구 당감동(동원초교 부근),3,5,0,2,2,1,35.1743275,129.0304559
9304,2019035,2018,보행어린이,26230002,부산광역시 부산진구2,부산광역시 부산진구 가야동(가야초교 부근),3,3,0,1,2,0,35.15404527,129.0370157
9305,2019035,2018,보행어린이,26230003,부산광역시 부산진구3,부산광역시 부산진구 부전동(부산광역시립부전도서관 부근),3,3,0,1,2,0,35.1562762,129.0623343
9306,2019035,2018,보행어린이,26350001,부산광역시 해운대구1,부산광역시 해운대구 재송동(더샵센텀파크2단지아파트 부근),3,4,0,1,3,0,35.17938044,129.122284
9307,2019035,2018,보행어린이,26440001,부산광역시 강서구1,부산광역시 강서구 지사동(녹산초교 부근),3,4,0,1,3,0,35.15097667,128.8360769
9308,2019035,2018,보행어린이,27170001,대구광역시 서구1,대구광역시 서구 내당동(감삼공원 부근),3,3,0,0,3,0,35.85895007,128.5510088
9309,2019035,2018,보행어린이,27290001,대구광역시 달서구1,대구광역시 달서구 상인동(대구월서초교 부근),3,3,0,3,0,0,35.82180764,128.5309694
9310,2019035,2018,보행어린이,27290002,대구광역시 달서구2,대구광역시 달서구 성당동(본리동우체국 부근),3,3,0,1,2,0,35.84122551,128.5447735
9311,2019035,2018,보행어린이,28177001,인천광역시 미추홀구1,인천광역시 미추홀구 도화동(도화초교 앞 사거리 부근),3,3,0,0,1,2,37.46447088,126.6687582
9312,2019035,2018,보행어린이,28260001,인천광역시 서구1,인천광역시 서구 석남동(인천석남서초교 부근),3,3,0,1,1,1,37.49990257,126.6700173
9313,2019035,2018,보행어린이,29140001,광주광역시 서구1,광주광역시 서구 풍암동(장원한자 부근),4,4,0,0,4,0,35.12117652,126.8652329
9314,2019035,2018,보행어린이,29140002,광주광역시 서구2,광주광역시 서구 화정동(화정2동주민센터 부근),3,6,0,2,4,0,35.14588321,126.8818312
9315,2019035,2018,보행어린이,29155001,광주광역시 남구1,광주광역시 남구 월산동(광주농성초교 부근),3,3,0,1,2,0,35.14787983,126.8914989
9316,2019035,2018,보행어린이,29170001,광주광역시 북구1,광주광역시 북구 용봉동(이화피아노음악학원 부근),3,3,0,1,2,0,35.18736656,126.894419
9317,2019035,2018,보행어린이,29170002,광주광역시 북구2,광주광역시 북구 매곡동(매곡프라자 부근),3,3,0,1,2,0,35.19231981,126.8923211
9318,2019035,2018,보행어린이,29170003,광주광역시 북구3,광주광역시 북구 두암동(광주문화초교 부근),3,3,0,1,2,0,35.17384134,126.9327176
9319,2019035,2018,보행어린이,29200001,광주광역시 광산구1,광주광역시 광산구 장덕동(새골풀어린이공원 부근),3,3,0,1,2,0,35.20060647,126.813055
9320,2019035,2018,보행어린이,31140001,울산광역시 남구1,울산광역시 남구 신정동(신정초교부근),4,4,0,2,2,0,35.53868349,129.3032324
9321,2019035,2018,보행어린이,31140002,울산광역시 남구2,울산광역시 남구 야음동(신정현대홈타운2단지아파트 부근),3,4,0,1,3,0,35.5305926,129.3231992
9322,2019035,2018,보행어린이,31170001,울산광역시 동구1,울산광역시 동구 전하동(동울산종합시장 부근),3,3,0,2,1,0,35.50919954,129.4252968
