"응답자특성별(1)","응답자특성별(2)",성별(1),2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"응답자특성별(1)","응답자특성별(2)",성별(1),분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차
"학년별","고2",남학생,6273,34.2,1.0,5954,35.4,1.0,6221,35.0,0.9,5595,31.7,0.9,6009,32.4,0.8,5777,31.9,0.9,5744,25.9,0.9,5610,28.7,0.8,5110,26.5,0.8,4662,25.8,0.8,4631,18.2,0.7,4478,19.2,0.7
"학년별","고2",여학생,5851,25.6,0.9,6554,25.3,0.9,6094,24.5,1.1,6270,20.9,0.8,6143,18.3,0.7,5336,22.7,0.9,5326,18.7,0.8,5190,21.1,0.8,4929,22.7,0.9,4382,19.6,0.8,4276,13.2,0.6,4169,13.4,0.6
"학년별","고3",전체,11523,32.1,0.8,12092,32.3,0.8,12123,32.2,0.7,12012,27.3,0.7,11928,29.8,0.7,11509,29.5,0.7,10884,26.9,0.6,10426,26.9,0.7,10512,28.6,0.6,9602,25.3,0.6,8173,20.9,0.6,7725,19.3,0.6
"학년별","고3",남학생,5933,37.0,1.1,5983,38.7,1.1,6111,38.5,0.9,6041,32.6,1.0,5850,37.0,0.9,5784,35.7,0.9,5456,30.9,0.9,5293,30.8,0.8,5220,31.7,0.8,4996,29.2,0.8,4290,24.0,0.9,3881,22.7,0.8
"학년별","고3",여학생,5590,26.6,1.1,6109,25.1,0.9,6012,25.1,1.0,5971,21.5,0.8,6078,21.9,0.7,5725,22.7,0.9,5428,22.6,0.9,5133,22.7,1.0,5292,25.1,0.9,4606,21.0,0.8,3883,17.5,0.8,3844,15.6,0.7
"학교급별","중학교",전체,37570,13.3,0.2,38474,12.0,0.2,37297,10.3,0.2,36530,8.3,0.2,36156,8.3,0.2,34299,7.4,0.2,32219,6.5,0.2,30885,7.6,0.2,30229,8.5,0.2,29384,7.6,0.2,28961,5.4,0.1,30015,5.6,0.2
"학교급별","중학교",남학생,19956,14.1,0.3,19550,12.8,0.3,19283,11.3,0.3,18921,9.5,0.2,18563,9.9,0.3,17858,8.8,0.2,16742,7.5,0.2,15652,8.5,0.2,15328,9.5,0.3,15401,8.0,0.2,14830,5.8,0.2,15586,6.2,0.2
"학교급별","중학교",여학생,17614,12.4,0.4,18924,11.1,0.3,18014,9.2,0.3,17609,7.0,0.3,17593,6.6,0.2,16441,5.9,0.2,15477,5.5,0.2,15233,6.7,0.2,14901,7.4,0.3,13983,7.1,0.3,14131,5.0,0.2,14429,5.0,0.2
"학교급별","고등학교",전체,35668,28.9,0.5,37168,29.0,0.5,36889,28.2,0.5,35905,23.8,0.5,35904,24.6,0.4,33744,24.9,0.5,33309,21.9,0.4,31391,23.0,0.4,29811,24.2,0.4,27919,21.8,0.4,25987,15.9,0.4,24833,16.0,0.4
"학교급별","고등학교",남학생,18435,32.9,0.6,18323,34.2,0.7,18938,33.4,0.6,17734,28.8,0.6,17907,30.5,0.5,17346,30.0,0.6,17061,25.3,0.5,15972,26.2,0.5,15135,26.6,0.5,14440,25.0,0.5,13523,18.3,0.5,12815,18.8,0.5
"학교급별","고등학교",여학생,17233,24.3,0.7,18845,23.2,0.6,17951,22.3,0.7,18171,18.4,0.5,17997,18.2,0.5,16398,19.4,0.6,16248,18.3,0.6,15419,19.5,0.6,14676,21.5,0.6,13479,18.4,0.5,12464,13.2,0.5,12018,13.0,0.4
"지역별","서울",전체,7848,20.7,0.7,11354,19.3,0.7,11373,18.3,0.7,11165,15.1,0.6,10997,16.7,0.7,9710,14.9,0.7,9567,13.7,0.6,9287,14.7,0.6,8771,15.4,0.6,8337,13.0,0.5,7691,8.8,0.5,7643,8.6,0.4
